пониззя річки Дністер та Дністровський лиман																																	
Вид лоту	Кількість лотів	ДОГОВІР			Дозвіл		% від загального ліміту	Загальний обсяг лімітованих і прогнозних видів водного біоресурсу	Види водних біоресурсів, які включені до договору														Знаряддя лову, які включені до договору								Ідентифікаційні номера бирок	Кількість риболовних суден	Назва судна/Бортовий номер судна
									Оселедець чорноморський Alosa immaculata	Лящ Abramis brama	Сазан Cyprinus carpio	Судак звичайний Sander lucioperca	Карась сріблястий Carassius gibelio	Сом європейський Silurus glanis	Щука звичайна Esox lucius	Білизна звичайна Aspius aspius	Краснопірка Scardinius erythrophthalmus	Рослиноїдні (білий, строкатий товстолоби, їх гібрид) Hypophthalmichthys molitrix Hypophthalmichthys nobilis Ctenopharyngodon idella	Плоскирка  Blicca bjoerkna	Тараня (плітка звичайна)  Rutilus heckelii Rutilus rutilus	Окунь звичайний Perca fluviatilis	Бички (крім видів, занесених до Червоної книги України) Gobiidae	Ятір (крок вічка 30 мм і більше) 	Сітка  (крок вічка 65 мм і більше)	Сітка плавна (крок вічка 65 мм і більше)	Ятір (крок вічка 18 мм)	Закидний невід  (волок) (крок вічка у матні – 30 мм, приводах – 36 мм, крилах – 40 мм)	Сітка ставна (крок вічка 28 мм, але не більше 40 мм)	Сітка плавна (крок вічка 28 мм, але не більше 40 мм)	Сітка (крок вічка від 32 мм до 38 мм)			
		Номер договору	Переможець	Дата опублікування договору в електронній системі																													
					Дата	Номер																											
	1	PRD3MACRO2024	ПРИВАТНЕ ПІДПРИЄМСТВО "СПРУТ-К", ЄДРПОУ: 38791055	18.11.2024	22.11.2024	PRD3MACRO2024-1	10,07	241,068	4,880	19,138	5,741	0,977	191,383	0,197	0,977	0,977	0,395	5,741	2,931	4,306	2,931	0,494	146	145	0	80	1	80	0	50		16	
	1	PRD4MACRO2024	ФОП Россоха Іван Михайлович	08.11.2024	08.11.2024	PRD4MACRO2024-1	10,07	241,109	4,888	19,142	5,748	0,978	191,389	0,198	0,978	0,978	0,397	5,748	2,934	4,307	2,934	0,490	146	146	0	77	1	85	0	50		16	
Всього	4						40,29	964,313	19,528	76,556	22,971	3,909	765,538	0,789	3,909	3,909	1,582	22,971	11,727	17,225	11,727	1,972	582	581	0	317	4	325	0	200		64	
 Разом	  23 						  100 	  2 393,280 	  48,450 	  190,000 	  57,000 	  9,700 	  1 900,000 	  1,960 	  9,700 	  9,700 	  3,920 	  57,000 	  29,100 	  42,750 	  29,100 	  4,900 	  1 500 	  1 485 	  15 	  800 	  4 	  800 	  40 	  500 		  167 	
У 2023 році кількість лотів - 18									48,450	190,000	57,000	9,700	1900,000	1,960	9,700	9,700	3,920	57,000	29,100	42,750	29,100	4,900	1500	1485	15	800	4	800	40	500			
									0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000			
																																	
									5948,08	3046,12	3383,00	4393,08	670,23	6333,12	3832,08	5531,24	1523,32	2475,15	1459,16	1475,04	2437,00	594,00											
								50397,370	5174,8296	10399,45368	3464,192	764,39592	22879,64151	221,6592	666,78192	962,43576	106,6324	2534,5536	763,14068	1132,83072	1274,551	52,272											
								82054,637	8428,42936	16927,28884	5639,461	1247,63472	37246,02156	360,98784	1088,31072	1570,87216	175,1818	4126,07505	1241,74516	1843,8	2073,887	84,942											
								112527,817	11557,11944	23214,48052	7733,538	1708,90812	51080,23899	500,31648	1490,67912	2151,65236	239,16124	5658,1929	1702,83972	2529,6936	2843,979	117,018											
								282579,484	29026,6304	58296,64456	19421,803	4292,03916	128270,6281	1247,62464	3743,94216	5404,02148	601,7114	14209,83615	4276,79796	6351,52224	7142,847	293,436											
								0,000																									
																																	
MIN	1	PRD1MIN2024						50397,37	5174,83	10399,45	3464,19	764,40	22879,64	221,66	666,78	962,44	106,63	2534,55	763,14	1132,83	1274,55	52,27											
	1	PRD2MIN2024						50397,37	5174,83	10399,45	3464,19	764,40	22879,64	221,66	666,78	962,44	106,63	2534,55	763,14	1132,83	1274,55	52,27											
	1	PRD3MIN2024						50397,37	5174,83	10399,45	3464,19	764,40	22879,64	221,66	666,78	962,44	106,63	2534,55	763,14	1132,83	1274,55	52,27											
	1	PRD4MIN2024						50397,37	5174,83	10399,45	3464,19	764,40	22879,64	221,66	666,78	962,44	106,63	2534,55	763,14	1132,83	1274,55	52,27											
	1	PRD5MIN2024						50397,37	5174,83	10399,45	3464,19	764,40	22879,64	221,66	666,78	962,44	106,63	2534,55	763,14	1132,83	1274,55	52,27											
Всього	5																																
MID	1	PRD1MID2024						82054,64	8428,43	16927,29	5639,46	1247,63	37246,02	360,99	1088,31	1570,87	175,18	4126,08	1241,75	1843,80	2073,89	84,94											
	1	PRD2MID2024						82054,64	8428,43	16927,29	5639,46	1247,63	37246,02	360,99	1088,31	1570,87	175,18	4126,08	1241,75	1843,80	2073,89	84,94											
	1	PRD3MID2024						82054,64	8428,43	16927,29	5639,46	1247,63	37246,02	360,99	1088,31	1570,87	175,18	4126,08	1241,75	1843,80	2073,89	84,94											
	1	PRD4MID2024						82054,64	8428,43	16927,29	5639,46	1247,63	37246,02	360,99	1088,31	1570,87	175,18	4126,08	1241,75	1843,80	2073,89	84,94											
	1	PRD5MID2024						82054,64	8428,43	16927,29	5639,46	1247,63	37246,02	360,99	1088,31	1570,87	175,18	4126,08	1241,75	1843,80	2073,89	84,94											
Всього	5																																
MAX	1	PRD1MAX2024						112527,82	11557,12	23214,48	7733,54	1708,91	51080,24	500,32	1490,68	2151,65	239,16	5658,19	1702,84	2529,69	2843,98	117,02											
	1	PRD2MAX2024						112527,82	11557,12	23214,48	7733,54	1708,91	51080,24	500,32	1490,68	2151,65	239,16	5658,19	1702,84	2529,69	2843,98	117,02											
	1	PRD3MAX2024						112527,82	11557,12	23214,48	7733,54	1708,91	51080,24	500,32	1490,68	2151,65	239,16	5658,19	1702,84	2529,69	2843,98	117,02											
	1	PRD4MAX2024						112527,82	11557,12	23214,48	7733,54	1708,91	51080,24	500,32	1490,68	2151,65	239,16	5658,19	1702,84	2529,69	2843,98	117,02											
	1	PRD5MAX2024						112527,82	11557,12	23214,48	7733,54	1708,91	51080,24	500,32	1490,68	2151,65	239,16	5658,19	1702,84	2529,69	2843,98	117,02											
	1	PRD6MAX2024						112527,82	11557,12	23214,48	7733,54	1708,91	51080,24	500,32	1490,68	2151,65	239,16	5658,19	1702,84	2529,69	2843,98	117,02											
	1	PRD7MAX2024						112527,82	11557,12	23214,48	7733,54	1708,91	51080,24	500,32	1490,68	2151,65	239,16	5658,19	1702,84	2529,69	2843,98	117,02											
	1	PRD8MAX2024						112527,82	11557,12	23214,48	7733,54	1708,91	51080,24	500,32	1490,68	2151,65	239,16	5658,19	1702,84	2529,69	2843,98	117,02											
	1	PRD9MAX2024						112527,82	11557,12	23214,48	7733,54	1708,91	51080,24	500,32	1490,68	2151,65	239,16	5658,19	1702,84	2529,69	2843,98	117,02											
Всього	9																																
MACRO	1	PRD1MACRO2024						282579,48	29026,63	58296,64	19421,80	4292,04	128270,63	1247,62	3743,94	5404,02	601,71	14209,84	4276,80	6351,52	7142,85	293,44											
	1	PRD2MACRO2024						282579,48	29026,63	58296,64	19421,80	4292,04	128270,63	1247,62	3743,94	5404,02	601,71	14209,84	4276,80	6351,52	7142,85	293,44											
	1	PRD3MACRO2024						282579,48	29026,63	58296,64	19421,80	4292,04	128270,63	1247,62	3743,94	5404,02	601,71	14209,84	4276,80	6351,52	7142,85	293,44											
	1	PRD4MACRO2024						282718,21	29074,22	58308,83	19445,48	4296,43	128274,65	1253,96	3747,77	5409,55	604,76	14227,16	4281,18	6353,00	7150,16	291,06											
